article_doi,article_title,article_authors,article_year,enl_url,dataset_doi,dataset_title,dataset_type
10.1002/adom.202503727,Disentangling Vibronic Coupling and Conformational Disorder in Flexible NDI-T2 Donor-Acceptor Co-Oligomers,M F X Dorfner and A Kumar and E Thyrhaug and R Matsidik and M Sommer and J Hauer and F Ortmann,2026,,,,
10.1021/acs.chemmater.5c03344,Tuning Optoelectronic Properties in Isoreticular Three-Dimensional Fully Conjugated Covalent Organic Frameworks,I Munoz-Alonso and S Reuter and T H Xue and D Bessinger and R Guntermann and D D Medina and T Bein,2026,,,,
10.1002/aenm.70962,Synthetic Surface Design of Transparent Electrodes for Enhanced Molecular Contact in Perovskite Solar Cells,R Hooijer and S Kim and S Klenk and H Zhu and C Yilmaz and Y Yalcinkaya and D Im and A S Backeberg and J Huang and M Bouraoui and A Buyruk and E Ugur and C Maheu and A Hartschuh and F Laquai and L Schmidt‐Mende and G S Duesberg and S Lee and E Aydin,2026,,,,
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh81k,CSD 2517108: Experimental Crystal Structure Determination,dataset
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh88s,CSD 2517115: Experimental Crystal Structure Determination,dataset
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh82l,CSD 2517109: Experimental Crystal Structure Determination,dataset
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh84n,CSD 2517111: Experimental Crystal Structure Determination,dataset
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh83m,CSD 2517110: Experimental Crystal Structure Determination,dataset
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh87r,CSD 2517114: Experimental Crystal Structure Determination,dataset
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh86q,CSD 2517113: Experimental Crystal Structure Determination,dataset
10.1021/acs.inorgchem.6c00670,"Synthesis, Magnetic Properties, and Luminescence-Assisted Structure Verification of Transition Metal and Rare-Earth Imidonitridophosphates","M Zipkat and R M Pritzl and D Werhahn and A Koldemir and K Witthaut and F Dr\""{o",2026,,10.25505/fiz.icsd.cc2qh85p,CSD 2517112: Experimental Crystal Structure Determination,dataset
10.1021/acsami.6c02743,Finite-Temperature Evolution of Frenkel Defects in Hybrid Perovskites: Healing and Lead-Methylammonium Antisite Pairs,J P Schone and S Argiolas and A Gagliardi and G A Siddiqui and A Filippetti and A Mattoni,2026,,,,
10.1002/admt.202600009,Multiscale Microscopy via Automation: Dual Magnification Environmental Scanning Electron Microscopy Imaging by Frame Alternation,M Vuijk and J Zeininger and L Sandoval-Diaz and G Rupprechter and B R Cuenya and K Reuter and T Lunkenbein and C Scheurer,2026,,,,
10.1002/advs.75170,Degradation Mechanisms Associated with Electron-Blocking Layers in Inverted Perovskite Solar Cells,"X Z Jiang and J Zeng and K Sun and S A Wegener and Z R Li and G J Pan and S K Vayalil and M Schwartzkopf and B M Xu and P M\""{u",2026,,,,
10.1364/oe.584526,Carrier-envelope phase control of ultrafast photocurrents in layered MoS2,J Schmuck and B Sinz and N Pettinger and S Zherebtsov and A W Holleitner,2026,,,,
10.1039/d6sc90032a,A reflection on 'A hydrazone-based covalent organic framework for photocatalytic hydrogen production': teaching sponges new tricks,A Rodr\'{i,2026,,,,
10.1002/aenm.202506213,Roadmap for High-Throughput Ceramic Materials Synthesis and Discovery for Batteries,J J Hinricher and K P Sokol and P Simons and K J Kim and M Foshey and Y S Tian and T Prein and L J Miara and E Olivetti and W Matusik and J L M Rupp,2026,,,,
10.1021/acs.jpclett.6c00410,Electron-Beam Cross-Linked Ligands Enable Highly Stable and Freestanding Perovskite Nanocrystal Films,U Leo and M A Gruber and N A Henke and V Reisner and S B Kalkan and M F Lichtenegger and B Nickel and A S Urban,2026,,,,
10.1002/anie.202521776,Covalent Organic Framework-Carbon Nanotube Core-Shell Nanohybrids for Enhanced Catalytic Site Utilization of Molecular Catalysts in CO2 Electroreduction,L Yao and A Rodr\'{i,2026,,,,
